icd,Latin,Transliterated
H90,DFNB10,дфнб10
H90,DFNB83,дфнб83
H90,DFNB77,дфнб77
H90,DFNB79,дфнб79
H90,DFNB85,дфнб85
H90,DFNA58,дфна58
H90,DFNA14,дфна14
H90,DFNA38,дфна38
H90,DFNA64,дфна64
H90,DFNA59,дфна59
H90,DFNA67,дфна67
H90,DFNA68,дфна68
H90,DFNA65,дфна65
H90,DFNA66,дфна66
H90,DFNA70,дфна70
H90,DFNA69,дфна69
Q87,CILD31,цилд31
Q34,CILD21,цилд21
Q34,CILD22,цилд22
Q34,CILD14,цилд14
D69,BDPLT5,бдплт5
H90,DFNB23,дфнб23
H90,DFNB24,дфнб24
H90,DFNB27,дфнб27
H90,DFNB25,дфнб25
H90,DFNB26,дфнб26
H90,DFNB29,дфнб29
H90,DFNB28,дфнб28
H90,DFNB32,дфнб32
H90,DFNB33,дфнб33
H90,DFNB30,дфнб30
H90,DFNB31,дфнб31
H90,DFNB37,дфнб37
H90,DFNB38,дфнб38
H90,DFNB35,дфнб35
H90,DFNB36,дфнб36
H90,DFNB39,дфнб39
G11,SCAR12,скар12
A30,lepras,лепрас
Q87,MRXS20,мрксс20
Q87,MRXS25,мрксс25
H90,DFNA16,дфна16
H90,DFNA20,дфна20
H90,DFNA26,дфна26
H90,DFNA21,дфна21
H90,DFNA17,дфна17
H90,DFNA18,дфна18
H90,DFNA24,дфна24
H90,DFNA25,дфна25
H90,DFNA22,дфна22
H90,DFNA23,дфна23
H90,DFNA2A,дфна2а
H90,DFNA2B,дфна2б
H90,DFNA27,дфна27
H90,DFNA28,дфна28
H90,DFNA33,дфна33
H90,DFNA36,дфна36
H90,DFNA30,дфна30
H90,DFNA31,дфна31
H90,DFNA3A,дфна3а
H90,DFNA3B,дфна3б
Q34,CILD13,цилд13
Q34,CILD17,цилд17
Q34,CILD33,цилд33
Q34,CILD30,цилд30
Q34,CILD20,цилд20
Q34,CILD15,цилд15
Q34,CILD24,цилд24
Q34,CILD26,цилд26
I42,CMD1AA,кмд1аа
I42,CMD1NN,кмд1нн
I42,CMD1GG,кмд1гг
I42,CMD1JJ,кмд1йй
I42,CMD1KK,кмд1кк
G11,dHMN5B,дхмн5б
G20,PARK19,парк19
H90,DFNB40,дфнб40
H90,DFNB42,дфнб42
H90,DFNB46,дфнб46
H90,DFNB47,дфнб47
H90,DFNB44,дфнб44
H90,DFNB45,дфнб45
H90,DFNB51,дфнб51
H90,DFNB48,дфнб48
H90,DFNB49,дфнб49
H90,DFNB59,дфнб59
H90,DFNB53,дфнб53
H90,DFNB55,дфнб55
H90,DFNB63,дфнб63
H90,DFNB65,дфнб65
H90,DFNB61,дфнб61
H90,DFNB62,дфнб62
G40,GEFSP1,гефсп1
Q04,MICPCH,микпх
Q87,MRXSMP,мркссмп
Q87,SHFM1D,схфм1д
Q87,MRXS12,мрксс12
G25,MRXS10,мрксс10
Q87,MRXSCJ,мрксскй
G11,NTEMND,нтемнд
Q76,STHAG6,стаг6
E72,PHGDHD,фгдхд
Q04,CDCBM7,кдкбм7
Q04,CDCBM1,кдкбм1
G25,chorea,хореа
G71,LGMD2A,лгмд2а
Q34,CILD29,цилд29
Q34,CILD32,цилд32
Q34,CILD12,цилд12
Q34,CILD11,цилд11
Q34,CILD28,цилд28
Q34,CILD18,цилд18
Q34,CILD19,цилд19
Q34,CILD23,цилд23
Q34,CILD16,цилд16
Q34,CILD27,цилд27
Q34,CILD10,цилд10
Q34,CILD25,цилд25
G60,HMSN1C,хмсн1к
G71,LGMD2P,лгмд2п
G71,MDDGC9,мддгк9
G71,LGMD2S,лгмд2с
Q87,WARBM1,варбм1
Q87,WARBM2,варбм2
Q87,WARBM3,варбм3
Q87,WARBM4,варбм4
E88,A-1ATD,а-1атд
G20,PARK23,парк23
G24,PARK14,парк14
G71,MDDGB6,мддгб6
Q87,MRXSSD,мрксссд
Q87,MRXSAB,мркссаб
Q87,MRXS28,мрксс28
Q87,MRXS15,мрксс15
F72,MRXS29,мрксс29
Q87,MRXS11,мрксс11
H90,DFNA40,дфна40
H90,DFNA41,дфна41
H90,DFNA47,дфна47
H90,DFNA48,дфна48
H90,DFNA43,дфна43
H90,DFNA44,дфна44
H90,DFNA4A,дфна4а
H90,DFNA4B,дфна4б
H90,DFNA49,дфна49
H90,DFNA51,дфна51
H90,DFNA52,дфна52
H90,DFNA50,дфна50
H90,DFNA56,дфна56
H90,DFNA53,дфна53
H90,DFNA54,дфна54
E85,NAPS12,напс12
E71,BCKDKD,бккдкд
E72,D2HGA1,д2хга1
B45,torula,торула
E88,MC5DN1,мк5дн1
C88,mu-HCD,му-хкд
G23,NBIA2a,нбиа2а
G23,NBIA2b,нбиа2б
H35,Secord,секорд
E74,GSDVII,гсдвии
G71,LGMD1B,лгмд1б
G71,LGMD1E,лгмд1е
G71,LGMD1C,лгмд1к
G71,LGMD1F,лгмд1ф
G71,LGMD1G,лгмд1г
E76,MPSVII,мпсвии
E10,IDDM10,иддм10
E10,IDDM11,иддм11
E10,IDDM12,иддм12
E10,IDDM13,иддм13
E10,IDDM15,иддм15
E10,IDDM17,иддм17
E10,IDDM18,иддм18
E10,IDDM19,иддм19
E10,IDDM20,иддм20
E10,IDDM21,иддм21
E10,IDDM22,иддм22
E10,IDDM23,иддм23
E10,IDDM24,иддм24
G71,LGMD1H,лгмд1х
G71,LGMD2L,лгмд2л
G71,LGMD2G,лгмд2г
G71,LGMD2M,лгмд2м
G71,MDDGC4,мддгк4
G71,LGMD2O,лгмд2о
G71,MDDGC3,мддгк3
G71,MDDGB5,мддгб5
D81,SCIDX1,сцидкс1
D69,BDPLT2,бдплт2
Q87,SOTOS1,сотос1
K11,Ranula,ранула
E79,MRXS18,мрксс18
F71,MRXS13,мрксс13
Q87,MRXSCH,мркссх
D47,THCYT1,тцит1
Q87,MRSHSS,мрсхсс
A25,Sodoku,содоку
L94,Ainhum,аинхум
Q26,TAPVR1,тапвр1
E72,SSADHD,ссадхд
G11,ARSACS,арзакс
E76,MPSIII,мпсиии
Q77,SADDAN,саддан
H02,ptosis,птозис
D17,LIPOMA,липома
H52,myopia,миопиа
F40,phobia,фобиа
D64,anemia,анемиа
C80,cancer,канцер
B08,cowpox,ковпокс
icd,autism,аутисм
F84,autism,аутисм
K11,ranula,ранула
A25,Sodoku,содоку
L94,ainhum,аинхум
D55,favism,фависм
E76,VI MPS,VI мпс
E76,IV MPS,IV мпс
C92,M3 AML,м3 амл
C92,M3 FAB,м3 фаб
B37,ciconia,цикониа
E31,2 A hominum,2 а хоминум
D44,2 A hominum,2 а хоминум
F50,mole 0,моле 0
E31,homines 2B,хоминес 2б
D44,homines 2B,хоминес 2б
G11,V HSMN,V хсмн
K02,† carie,† карие
E54,"jugem scabiem,","йугем скабием,"
E04,tumidum guttur,тумидум гуттур
E75,S-PLO,с-пло
E76,MPS EST,мпс ест
Q04,VI Ofds,VI офдс
G60,IV HMSN,IV хмсн
E83,IX ED,IX ед
Q79,HT-ED,хт-ед
D48,I COCA,I кока
G11,III opca,III опка
H50,STRABUS,страбус
K21,refluxus,рефлукзус
G60,V HMSN,V хмсн
Q87,V Ofds,V офдс
D69,"Alleluia, VWD","алелуиа, ввд"
Q87,IX Ofds,IX офдс
Q87,I Mopd,I мопд
C94,M7 AML,м7 амл
C94,"M7, Fab","м7, фаб"
E20,php 1 A,фп 1 а
G60,2C CMT,2к кмт
G60,VII hsan,VII хсан
G60,1e HSN,1е хсн
G60,2i CMT,2и кмт
G60,2I CMT,2и кмт
G60,2B CMT,2б кмт
G60,2F CMT,2ф кмт
G60,2D CMT,2д кмт
D47,U-ALPIS,у-алпис
G60,1d CMT,1д кмт
Q87,IV Ofds,IV офдс
Q81,"GLORIA Mv,","глориа мв,"
Q81,GLORIA Og,глориа ог
Q81,"GLORIA MD,","глориа мд,"
Q81,"MD interretialem EbS habent,","MD интеррециалем ебс хабент,"
E76,IX MPS,IX мпс
E70,S2-OA,с2-оа
Q81,"Jen, nH","йен, нх"
E77,A Roma III,а рома III
E77,Roma III,рома III
B00,Herpesvirus hominis,херпесвирус хоминис
Q87,II Mopd,II мопд
Q87,III Ofds,III офдс
E77,lv Cdg,lv кдг
Q04,IV CPD,IV кпд
L28,lichenas,лихенас
G12,IV SMA,IV зма
G12,"II, SMA","ии, зма"
G60,1C CMT,1к кмт
G70,CMS lc,кмс lc
E74,XV GSD,XV гсд
E75,III DG,III дг
G60,II LEGO,II лего
Q82,Xpb / c,кспб / c
E76,II MPS,II мпс
G04,I-HTLV,и-хтлв
J36,ANGINA,ангина
D81,X SCID,X сцид
G90,III hsan,III хсан
Q87,III Acps,III акпс
A20,plaga,плага
A75,Bacillus subtilis subsp,бацилус субтилис субсп
E54,"jugem scabiem,","йугем скабием,"
E04,GUTTER,гуттер
J45,suspiriosis,суспириозис
A82,¶ rabies,¶ рабиес
N19,URAEMIA,уремиа
B05,RUBEOLA,рубеола
H20,Uveitis,увеитис
Q87,Aarskog,аарског
C88,MALToma,малтома
A07,Giardia,гиардиа
J86,empyema,емпиема
I83,varices,варицес
B49,mycoses,микозес
B49,mycosis,микозис
B35,mycoses,микозес
B35,mycosis,микозис
B08,roseola,розеола
H10,pinkeye,пинкеие
D47,"CMPD, U","кмпд, у"
G12,ALS-PDC,алс-пдк
K52,ileitis,илеитис
E74,GSD ixd,гсд ixd
D69,BDPLT19,бдплт19
D69,BDPLT17,бдплт17
D69,BDPLT18,бдплт18
D69,BDPLT11,бдплт11
G11,VLDLRCH,влдлрх
G60,HMSN2A1,хмсн2а1
G60,HMSN2A2,хмсн2а2
G71,MTDPS11,мтдпс11
G31,MTDPS8A,мтдпс8а
E88,MTDPS13,мтдпс13
G60,ARCMT2B,аркмт2б
Q12,CTRCT45,ктркт45
E26,BARTS4A,бартс4а
E26,BARTS4B,бартс4б
Q12,CTRCT32,ктркт32
Q12,CTRCT34,ктркт34
A00,CÃ²lera,кã²лера
G60,ARCMT2K,аркмт2к
Q12,CTRCT25,ктркт25
Q12,CTRCT10,ктркт10
Q12,CTRCT43,ктркт43
Q12,CTRCT21,ктркт21
Q12,CTRCT24,ктркт24
Q12,CTRCT35,ктркт35
Q12,CTRCT19,ктркт19
Q12,CTRCT44,ктркт44
Q12,CTRCT22,ктркт22
Q12,CTRCT33,ктркт33
Q12,CTRCT17,ктркт17
Q12,CTRCT23,ктркт23
E71,MEGCANN,мегканн
Q12,CTRCT29,ктркт29
Q12,CTRCT27,ктркт27
Q12,CTRCT18,ктркт18
Q12,CTRCT39,ктркт39
Q12,CTRCT42,ктркт42
Q12,CTRCT41,ктркт41
Q12,CTRCT13,ктркт13
Q12,CTRCT12,ктркт12
Q12,CTRCT20,ктркт20
Q12,CTRCT38,ктркт38
Q12,CTRCT26,ктркт26
Q12,CTRCT46,ктркт46
Q12,CTRCT15,ктркт15
Q12,CTRCT30,ктркт30
Q12,CTRCT37,ктркт37
Q12,CTRCT14,ктркт14
B03,variola,вариола
J00,colders,колдерс
G71,MDDGC14,мддгк14
Q12,CTRCT31,ктркт31
Q12,CTRCT11,ктркт11
Q12,CTRCT16,ктркт16
Q12,CTRCT40,ктркт40
Q87,MRXSBFL,мркссбфл
Q93,CATCH22,катх22
G11,SPARCA1,спарка1
D69,BDPLT16,бдплт16
H90,DFNB101,дфнб101
H90,DFNB102,дфнб102
H90,DFNB104,дфнб104
H90,DFNB105,дфнб105
H90,DFNB103,дфнб103
H90,DFNB18A,дфнб18а
H90,DFNB18B,дфнб18б
H53,scotoma,скотома
E71,ACADVLD,акадвлд
D53,RH-MGA1,р-мга1
H90,DFNB84A,дфнб84а
H90,DFNB84B,дфнб84б
F45,bruxism,брукзисм
G47,bruxism,брукзисм
A35,lockjaw,локкйав
A34,lockjaw,локкйав
A33,lockjaw,локкйав
E13,DIDMOAD,дидмоад
N19,URAEMIA,уремиа
K09,Dermoid,дермоид
T78,allergy,алерги
Q85,epiloia,епилоиа
Q66,talipes,талипес
G40,ICEGTCS,ицегткс
A48,gas bac,гас бак
B07,verruca,веррука
H20,Uveitis,увеитис
B87,myiasis,мииазис
B06,rubella,рубела
R48,agnosia,агнозиа
C49,sARCOMA,саркома
K52,ileitis,илеитис
E55,rickets,риккетс
L71,rosacea,розацеа
A00,cholera,холера
F04,aMNESIA,амнезиа
R41,aMNESIA,амнезиа
F01,CADASIL,кадазил
H53,scotoma,скотома
F45,bruxism,брукзисм
G47,bruxism,брукзисм
A30,leprosy,лепроси
A35,tETANUS,тетанус
A34,tETANUS,тетанус
A33,tETANUS,тетанус
B74,loiasis,лоиазис
F50,bulimia,булимиа
K52,COLITIS,колитис
R47,aPHASIA,афазиа
F80,balbutire,балбутире
A01,typhoidearun,тифоидеарун
L89,décubitus,дéкубитус
C49,ATT / RHT,атт / рт
E31,hOMINES IIB,хоминес ииб
D44,hOMINES IIB,хоминес ииб
F41,anxietatem,анкзиетатем
M10,podagrae praesidio sunt,подагре президио сунт
G60,AR CMT1,ар кмт1
L94,morphe,морфе
G60,IV HSMN,IV хсмн
G12,"III, SMA","иии, зма"
L65,CALVITIUM,калвициум
Q79,III ED,III ед
R48,auferimus,ауферимус
B88,hirudines,хирудинес
Q87,X Ofds,X офдс
A15,TB pulmonem,тб пулмонем
E85,amyloideae,амилоидее
E74,GSD IXh-,гсд иксх-
Q87,XI Ofds,XI офдс
D07,ACUS III,акус III
G60,2C Hmsn,2к хмсн
D06,III CIN,III цин
E74,iib GSD,ииб гсд
Q82,UP / MPCM,уп / мпкм
D47,UP / MPCM,уп / мпкм
E27,Cicero,цицеро
D64,anemia,анемиа
G60,2B1 CMT,2б1 кмт
G60,1d Hmsn,1д хмсн
G60,id HMSN,id хмсн
G60,R. L-CMTB,р. л-кмтб
G60,R. L-CMTA,р. л-кмта
G60,D-CMTA,д-кмта
E66,absque oleo,абскве олео
N18,aegrotatio,егротацио
Q87,II MOPD,II мопд
G60,4B2 CMT,4б2 кмт
G60,4B1 CMT,4б1 кмт
G60,D-CMTB,д-кмтб
G60,D-CMTC,д-кмтк
G60,D-CMTD,д-кмтд
G60,R. L-CMTC,р. л-кмтк
G60,"Zibeon, Anah, NM","цибеон, анах, нм"
Q81,L-GLORIA,л-глориа
G60,Is HMSN,ис хмсн
Q87,"PMG BLC,","пмг блк,"
G11,"HS.P. TCC,","хс.п. ткк,"
E23,Is IGHD,ис игхд
G24,"Dyt SPR,","дит спр,"
H04,Quod oculus sicco,квод окулус сикко
G60,1C Hmsn,1к хмсн
G60,IC HMSN,IC хмсн
E77,II Cdg,II кдг
E77,Thomas PAR-,томас пар-
E72,II-D-HGA,ии-д-хга
E07,P. Cornelius Tacitus,п. корнелиус тацитус
E23,II IGHD,II игхд
E23,IGHD IA Omnium,игхд иа омниум
G04,COLEPIUM / TSP,колепиум / тсп
E76,VII MPS,VII мпс
D81,"SCID x1,","сцид кс1,"
E76,III MPS,III мпс
B05,rubellam,рубелам
A22,CARBO,карбо
A78,Q febricitantem,к фебрицитантем
B86,Distat,дистат
B54,MEPHITIS,мефитис
E66,dolore magna aliqua,долоре магна аликва
D69,purpurae,пурпуре
N18,morbus,морбус
A66,thymosis,тимозис
B05,MORBILLI,морбили
L20,Allergic,алергик
H20,uveaitis,увеаитис
B75,Triquina,триквина
A05,Botulism,ботулисм
K05,Pyorrhea,пиорреа
M62,myopathy,миопати
M60,myopathy,миопати
G72,myopathy,миопати
O00,eccyesis,екциезис
K56,vOLVULUS,волвулус
L04,ADENITIS,аденитис
I88,ADENITIS,аденитис
E34,Progeria,прогериа
H04,epiphora,епифора
C85,lymphoma,лимфома
K14,Orodynia,ородиниа
E52,pellagra,пелагра
H00,Chalazia,халациа
C92,Chloroma,хлорома
E55,rachitis,рахитис
F01,CADASIL2,кадазил2
E74,GSD Ixa2,гсд икза2
J62,talcosis,талкозис
F04,amnesiac,амнезиак
R41,amnesiac,амнезиак
G60,HMSN IIB,хмсн ииб
K62,anusitis,анузитис
K62,rectitis,ректитис
F48,neurosis,неурозис
F34,neurosis,неурозис
G24,GLUT1DS2,глут1дс2
C95,leukemia,леукемиа
B08,vaccinia,вакциниа
C76,chordoma,хордома
C22,Hepatoma,хепатома
Q78,Maffucci,маффукци
I80,veinitis,веинитис
K11,Sialitis,сиалитис
Q77,SEMDSTWK,семдствк
E79,MRXSARTS,мркссартс
M72,fascitis,фасцитис
L74,Sudamina,судамина
J30,RHINITIS,ринитис
I77,Aortitis,аортитис
A24,Glanders,гландерс
F81,dyslexia,дислекзиа
A05,botulism,ботулисм
N45,orchitis,орхитис
N48,priapism,приаписм
M71,bursitis,бурзитис
Q13,aniridia,аниридиа
E34,progeria,прогериа
C85,lymphoma,лимфома
N47,phimosis,фимозис
E52,pellagra,пелагра
L74,miliaria,милиариа
N30,CYSTITIS,циститис
K12,uvulitis,увулитис
E51,beriberi,берибери
G24,dystonia,дистониа
B03,smallpox,змалпокс
C95,leukemia,леукемиа
K04,pulpitis,пулпитис
A51,sYPHILIS,сифилис
R21,exanthem,екзантем
C76,chordoma,хордома
Q13,coloboma,колобома
Q66,clubfoot,клубфоот
H20,hypopyon,хипопион
N76,Vulvitis,вулвитис
M60,Myositis,миозитис
G72,Myositis,миозитис
M46,discitis,дисцитис
H40,GLAUCOMA,глаукома
R48,agraphia,аграфиа
N12,Pyelitis,пиелитис
A54,SAMECH plauserunt super,самех плаузерунт супер
I44,AV obstructionum,ав обструкционум
A69,Actinobacillus,актинобацилус
G43,CROTAPHOS,кротафос
H53,Oculi otiosi,окули оциози
K02,cavitates,кавитатес
H10,"rosea oculus,","розеа окулус,"
B02,scandalis robusteis,скандалис робустеис
F70,tarditatem devenerit,тардитатем девенерит
E74,VIII GSD,VIII гсд
Q87,PIGT PAR-,пигт пар-
Q87,PIGN PAR-,пигн пар-
G60,II C HMSN,II C хмсн
G60,VII hsan,VII хсан
G60,AR CMT2T,ар кмт2т
G60,AR CMT2C,ар кмт2к
E10,diabete,диабете
E08,diabete,диабете
E11,diabete,диабете
N18,inordinationem,инординационем
N18,languorem,лангворем
N18,morbo,морбо
G60,Li-HMSN,ли-хмсн
G11,SCA19 / XXII,ска19 / XXII
C26,GI tumore,ги туморе
G11,SCA15 / XVI,ска15 / XVI
E03,Myxoedema,микзедема
Q80,Ad medelam percipiendam: CCCXIII,ад меделам перципиендам: CCCXIII
J09,ut avium morbum hominibus,ут авиум морбум хоминибус
E23,III IGHD,III игхд
G24,"Dyt ANO3,","дит ано3,"
E75,plus WS4,плус вс4
E77,MOGS PAR-,могс пар-
G11,"AD SPG9A,","ад спг9а,"
G11,AR SPG9B,ар спг9б
B35,inpetiginem,инпетигинем
C60,CA coles,ка колес
H65,auris glutinum,аурис глутинум
C51,CA quidam Latinorum praesumtores,ка квидам латинорум пресумторес
Q36,lepus quoque labrum,лепус квокве лабрум
G90,III hsan,III хсан
G24,"Dyt TAF1,","дит таф1,"
A71,aspritudine lippitudo fit,аспритудине липпитудо фит
E41,concoctionis,конкокционис
L80,vitiliginem inspergunt,витилигинем инспергунт
L65,dilata calvitium,дилата калвициум
E03,Myxoedema,микзедема
G40,comitialibus,комициалибус
R09,in lateris dolore,ин латерис долоре
H26,suffusio,суффузио
L08,Staphylodermia,стафилодермиа
L01,cognomen,когномен
A66,frambesia,фрамбезиа
A66,frambosie,фрамбозие
F34,dysthymia,дистимиа
J43,EMPHYSEMA,емфисема
K73,Hepatitis,хепатитис
K73,liveritis,ливеритис
T75,kinetosis,кинетозис
I49,Bangungut,бангунгут
L21,seborrhea,себорреа
H52,ametropia,аметропиа
B87,flystrike,флистрике
I77,aortaitis,аортаитис
K10,CHERUBISM,херубисм
M27,CHERUBISM,херубисм
J86,pyothorax,пиоторакс
R10,dyspepsia,диспепсиа
K30,dyspepsia,диспепсиа
K74,CIRRHOSIS,циррозис
N04,nephrosis,нефрозис
A85,brainitis,браинитис
E03,cretinism,кретинисм
E00,cretinism,кретинисм
K52,ENTERITIS,ентеритис
E54,SCORBUTUS,скорбутус
F84,aspergers,аспергерс
N36,intrinsic,интринзик
E71,"CTD, SPCD","ктд, спкд"
E75,lipidoses,липидозес
E75,lipidosis,липидозис
F63,ludomania,лудоманиа
H00,Chalazion,халацион
K00,Anodontia,анодонциа
G56,causalgia,каузалгиа
K59,Dyschezia,дисхезиа
C24,Ampulloma,ампулома
G60,HMSN IIA1,хмсн ииа1
G60,HMSN IIA2,хмсн ииа2
F02,Parkinson,паркинзон
G20,Parkinson,паркинзон
C85,Med-DLBCL,мед-длбкл
C83,Med-DLBCL,мед-длбкл
E67,xanthemia,кзантемиа
J67,Suberosis,суберозис
E03,Myxoedema,микзедема
B07,Grootitus,гроотитус
C95,Leukemias,леукемиас
C75,Pinealoma,пинеалома
R21,exanthema,екзантема
H53,deutanope,деутанопе
N48,Balanitis,баланитис
B01,varicella,варицела
R09,pleuritis,плеуритис
T78,allergies,алергиес
B45,torulosis,торулозис
C88,Alpha-HCD,алфа-хкд
M27,exostosis,екзостозис
H53,tritanope,тританопе
L10,Pemphigus,пемфигус
F82,dyspraxia,диспракзиа
H53,protanope,протанопе
D18,cavernoma,кавернома
K11,Sialolith,сиалолит
Q87,Cyclopism,циклописм
K13,cheilosis,хеилозис
K00,fluorosis,флуорозис
K59,Megacolon,мегаколон
D50,chlorosis,хлорозис
M72,fasciitis,фасциитис
N70,ovaryitis,овариитис
E80,porphyria,порфириа
K73,Hepatitis,хепатитис
F63,pyromania,пироманиа
K10,cherubism,херубисм
M27,cherubism,херубисм
E22,gigantism,гигантисм
J62,silicosis,силикозис
H00,hordeolum,хордеолум
N64,lactocele,лактоцеле
O15,ECLAMPSIA,еклампсиа
H15,scleritis,склеритис
N05,NEPHRITIS,нефритис
N08,NEPHRITIS,нефритис
B88,acariasis,акариазис
K22,Achalasia,ахалазиа
H02,ectropion,ектропион
M19,arthritis,артритис
B04,monkeypox,монкеипокс
K00,anodontia,анодонциа
H16,keratitis,кератитис
J01,sinusitis,синузитис
G56,causalgia,каузалгиа
K29,GASTRITIS,гастритис
H54,blindness,блинднесс
J11,influenza,инфлуенца
K62,proctitis,проктитис
A57,chancroid,ханкроид
A06,Amebiasis,амебиазис
N85,hemometra,хемометра
K13,cheilitis,хеилитис
C75,Pinealoma,пинеалома
N48,Balanitis,баланитис
J63,siderosis,сидерозис
M27,exostosis,екзостозис
K14,glossitis,глосситис
B68,taeniasis,тениазис
L10,Pemphigus,пемфигус
I80,Phlebitis,флебитис
K59,megacolon,мегаколон
B88,tungiasis,тунгиазис
K11,PAROTITIS,паротитис
H11,pterygium,птеригиум
M72,fasciitis,фасциитис
H50,exotropia,екзотропиа
H50,esotropia,езотропиа
M41,sCOLIOSIS,сколиозис
L40,PSORIASIS,псориазис
M24,ankylosis,анкилозис
H30,retinitis,ретинитис
B65,Mea PRURIO,меа прурио
B65,lacus PRURIO,лакус прурио
F52,frigiditas,фригидитас
B85,Pediculus,педикулус
J80,RDS adultus,рдс адултус
B08,pustulis correptus ovium,пустулис коррептус овиум
H05,proptosin,проптозин
B66,iecoris et putredo,иекорис ет путредо
M70,qua ulcus natum calceus,ква улкус натум калцеус
R95,cot mortem,кот мортем
M19,cuidam arthritico,куидам артритико
L65,capillus damnum,капилус дамнум
M81,os damnum,ос дамнум
L74,calor temere agere,калор темере агере
F01,II CADASIL,II кадазил
G60,AR CMT2B1,ар кмт2б1
G60,AR CMT2B2,ар кмт2б2
C72,Potis tumore,потис туморе
G30,praecox,прекокс
Q78,OI sollicitans V genus,ои солицитанс V генус
J00,frigus capitis,фригус капитис
C95,leukemia,леукемиа
N18,"conditione,","кондиционе,"
N18,perturbationes,пертурбационес
G60,"ARCMT2 M,","аркмт2 м,"
A42,GLAEBOSUS perforabis maxillam eius,глебосус перфорабис макзилам еиус
A51,"pustulis correptus magnum,","пустулис коррептус магнум,"
M77,tenebitur planta illius et aculeos subdiderunt,тенебитур планта илиус ет акулеос субдидерунт
Q90,G Trisomía,г тризомíа
A00,infectio,инфекцио
C22,adulta HCC,адулта хкк
E77,MGAT2 PAR-,мгат2 пар-
C88,Beta-HCD,бета-хкд
M27,os calcaribus,ос калкарибус
Q66,pedites clava,педитес клава
G24,"Dyt PRKRA,","дит пркра,"
B35,NOS Nunc gaudeant,нос нунк гаудеант
J09,AVIARIUS INFLUENZA,авиариус инфлуенца
C60,penis ca.,пенис ка.
A98,KFD virum,кфд вирум
Q87,AGR TRINITAS,агр тринитас
Q36,foramine labium,форамине лабиум
B55,Lentivirinae,лентивирине
B55,Azar-kala,ацар-кала
A54,gonorrhoea,гонорреа
H53,AMBPLYOPIA,амбплиопиа
F01,I CADASIL,I кадазил
J15,peripneumonia,перипнеумониа
A66,nuper yaws,нупер иавс
Q36,foramine labium,форамине лабиум
F65,grassante,грассанте
E80,porphyrias,порфириас
A54,gonorrhoea,гонорреа
L21,Seborrhoea,себорреа
F60,sociopathy,социопати
A07,Giardiases,гиардиазес
A07,Lambliases,ламблиазес
A07,Lambliasis,ламблиазис
J35,tonsilitis,тонзилитис
N91,Menolipsis,менолипсис
N45,Orchititis,орхититис
N45,testisitis,тестизитис
F43,Shellshock,схелсхокк
N10,pyometrium,пиометриум
N16,pyometrium,пиометриум
N12,pyometrium,пиометриум
M77,tendonitis,тендонитис
N48,Mentulagra,ментулагра
N05,kidneyitis,киднеиитис
N08,kidneyitis,киднеиитис
A75,Typhusemia,тифуземиа
B72,medinensis,мединензис
A48,Legionella,легионела
E40,Kwashiokor,квасхиокор
Q18,otocephaly,отоцефали
Q87,otocephaly,отоцефали
L80,leucoderma,леукодерма
A38,scarlatina,скарлатина
Q87,G syndrome,г синдроме
E75,lipoidosis,липоидозис
H18,kerectasia,керектазиа
H16,corneaitis,корнеаитис
H50,Strabismus,страбизмус
H01,eyeliditis,еиелидитис
G83,pseudocoma,псеудокома
B60,Babesiasis,бабезиазис
F45,dysmorphia,дизморфиа
C03,gum cancer,гум канцер
G30,Alzheimers,алцхеимерс
