
диагноза,ICD
фамилна периодична парализа,G72
млечница,B37
кандидос,B37
кандидоза,B37
Дисеминирана кандидоза,B37
Candida <Debaryomycetaceae> инфекция,B37
Инфекция с кандида,B37
Кандидоза, млечница,B37
инфекции, Candida <Debaryomycetaceae>,B37
системна кандидоза,B37
куру енцефалопатия,A81
аморална личност,F60
аморално разстройство на личността,F60
APD,F60
асоциална личност,F60
асоциално разстройство на личността,F60
ASPD,F60
дисоциално разстройство на личността,F60
Psychopath.personality,F60
психопатична личност,F60
психопатично разстройство на личността,F60
психопатия,F60
социопатична личност,F60
социопатично разстройство на личността,F60
социопатия,F60
злокачествено новообразувание на гърдата,C50
злокачествен тумор на гърдата,C50
рак на млечната жлеза,C50
първичен рак на гърдата,C50
централна понтинова миелинолиза (разстройство),G37
централна понтинова миелиноза,G37
осмотичен демиелинизационен синдром,G37
HD,G10
Болестта на Хънтингтън,G10
Хорея на Хънтингтън,G10
Болест на Хънтингтън,G10
Хънтингтън хорея,G10
БОЛЕСТ НА ХИНТИНГТОН; HD,G10
хидроцефалия, несиндромна, автозомно рецесивна,G91
хидроцефалия, свързана с X,G91
менингоенцефалоцеле,G91
активен етап трахома,A71
Санди Блайт,A71
трахома дубиум,A71
актинична (слънчева) кератоза,L57
актинична кератоза,L57
актинична кератоза (разстройство),L57
актинична кератоза (морфологична аномалия),L57
Актинова кератоза, слънчева кератоза,L57
Сенилна хиперкератоза,L57
сенилна кератоза,L57
SK - Слънчева кератоза,L57
Слънчева кератоза,L57
Инфекция с Actinomyces,A42
Actinomyces israeli,A42
Actinomycetes,A42
actinomycetoma,A42
актиномикотична инфекция,A42
Актиномикотичен крак на мадура,A42
Актиномикотичен мадура крак (разстройство),A42
Актиномикотичен мицетом,A42
Актиномикотичен мицетом на стъпалото,A42
Инфекция с анаеробни актиномии,A42
кипене,A42
Canaliculitis,A42
инфекции, Actinomyces,A42
Keratoactinomycosis,A42
Мадура крак поради Actinomadura,A42
Мадура крак поради Actinomadura (разстройство),A42
тестикуларен тумор (разстройство) Мъжко сексуално хардкор сексуално съдържание опасно,C62
Giardia,A07
Giardia инфекция,A07
бобър феавер,A07
Giardiases,A07
Инфекция от Giardia lamblia,A07
инфекции, Giardia,A07
Lambliases,A07
Lambliasis,A07
RVF,A92
салмонелоза,A02
локализирана инфекциозна болест на салмонела,A02
Инфекциозна болест на салмонела,A02
Инфекции със салмонела,A02
салмонелоза,A01
локализирана инфекциозна болест на салмонела,A01
Инфекциозна болест на салмонела,A01
Инфекции със салмонела,A01
хранителна атрофия,E41
хранителен маразъм,E41
хранителен маразъм (разстройство),E41
Съдова деменция,F01
мултифокална деменция,F01
ABS2,Q87
Синдром на Антли Бикслер,Q87
АНТЛЕ-БИКСЛЕР СИНДРОМ БЕЗ ОБЩИ АНОМАЛИИ ИЛИ РАЗРЕШЕНИ СТЕРОИДОГЕНЕЗ,Q87
АНТЛЕЙ-БИКСЛЕРЕН СИНДРОМ БЕЗ ОБЩИ Аномалии ИЛИ нарушени СТЕРОИДОГЕНЕЗА; ABS2,Q87
Мултисиностотична остеодигенеза с фрактури на дълги кости,Q87
Остеодисгенеза, мултисиностотична с фрактури,Q87
Остеодисгенеза, мултисиностотика, с фрактури,Q87
Синдром на трапецоидоцефална синостоза,Q87
